City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Klyuchevskiy,RU,2020-04-17 07:09:18,53.53,119.45,54.45,26,0,7.58
111,Kesova Gora,RU,2020-04-17 07:09:18,57.58,37.29,35.17,79,66,16.02
112,Balgazyn,RU,2020-04-17 07:09:18,51.0,95.2,52.57,29,13,6.4
113,Sao Felix Do Xingu,BR,2020-04-17 07:09:18,-6.64,-51.99,70.88,92,69,0.45
114,Hami,CN,2020-04-17 07:09:19,42.8,93.45,74.89,14,100,3.94
115,Adoni,IN,2020-04-17 07:09:19,15.63,77.28,98.96,18,9,5.73
116,Nieuw Amsterdam,SR,2020-04-17 07:09:19,5.88,-55.08,75.0,91,74,8.46
117,Puerto El Triunfo,SV,2020-04-17 07:09:20,13.28,-88.55,80.67,76,1,4.61
118,Bombay,IN,2020-04-17 07:05:19,19.01,72.85,89.6,66,20,9.17
119,Coahuayana,MX,2020-04-17 07:09:20,18.73,-103.68,74.61,46,15,2.15
120,Shenjiamen,CN,2020-04-17 07:09:20,29.96,122.3,61.18,84,8,10.85
121,Dikson,RU,2020-04-17 07:09:21,73.51,80.55,7.05,91,29,11.43
122,Bredasdorp,ZA,2020-04-17 07:04:41,-34.53,20.04,60.8,77,35,3.36
123,Kalmunai,LK,2020-04-17 07:07:11,7.42,81.82,88.56,60,65,7.34
124,Kapoeta,SS,2020-04-17 07:09:21,4.77,33.59,85.66,42,87,15.79
125,Katherine,AU,2020-04-17 07:09:22,-14.47,132.27,96.8,28,40,10.29
126,Dudinka,RU,2020-04-17 07:09:22,69.41,86.18,28.4,74,87,24.61
127,Barrow,US,2020-04-17 07:05:02,71.29,-156.79,9.64,95,100,7.61
128,Adrar,MR,2020-04-17 07:09:23,20.5,-10.07,79.45,14,40,7.56
129,Fort Nelson,CA,2020-04-17 07:09:23,58.81,-122.7,39.99,78,98,6.29
130,Voh,NC,2020-04-17 07:09:23,-20.97,164.7,77.86,79,19,6.2
131,Port Elizabeth,ZA,2020-04-17 07:09:24,-33.92,25.57,57.2,82,35,2.24
132,Nelson Bay,AU,2020-04-17 07:09:24,-32.72,152.15,80.6,34,57,6.93
133,Sioux Lookout,CA,2020-04-17 07:09:24,50.1,-91.92,20.37,93,72,4.79
134,Hauterive,FR,2020-04-17 07:09:24,46.09,3.45,55.4,37,60,8.05
135,Tashtyp,RU,2020-04-17 07:09:24,52.79,89.9,51.24,44,88,10.65
136,Salamanca,ES,2020-04-17 07:09:25,40.83,-6.0,48.2,81,68,11.41
137,Camargo,MX,2020-04-17 07:09:25,27.67,-105.17,70.43,14,99,10.22
138,Nikolskoye,RU,2020-04-17 07:09:25,59.7,30.79,39.2,64,20,22.37
